COB,CauchyWeight,CauchySkew,Error
2006-05-15,0.9725981195284029,0.93,0.0011414764998525476
2006-06-14,0.9883738380592264,0.93,0.0017122147497788279
2006-07-14,0.9883738380592264,0.93,0.005136644249336509
2006-08-13,0.5488135039273249,0.93,0.04508832174417611
2006-09-12,0.5488135039273249,0.93,0.03538577149542935
2006-10-12,0.5206728568976878,0.93,0.043946845244323546
2006-11-11,0.5206728568976878,0.93,0.0017122147497788279
2006-12-11,0.5488135039273249,0.93,0.0005707382499262802
2007-01-10,0.5241838603937583,0.93,0.0
2007-02-09,0.11368474100259598,0.93,0.0005707382499262802
2007-03-11,0.9999936717700779,0.93,0.0
2007-04-10,0.5850510104238696,0.93,0.0017122147497788405
2007-05-10,0.5488135039273249,0.93,0.0011414764998525604
2007-06-09,1.0,0.93,0.0022829529997051208
2007-07-09,1.0,0.93,0.0017122147497788405
2007-08-08,0.022550746693250415,0.93,0.0028536912496313883
2007-09-07,7.244963849217802e-05,0.93,0.0
2007-10-07,0.31823350917706245,0.93,0.0028536912496313883
2007-11-06,0.999977951780723,0.93,0.01255624149837815
2007-12-06,0.999977951780723,0.93,0.007419597249041629
2008-01-05,0.999977951780723,0.93,0.006278120749189082
2008-02-04,0.8368076354782492,0.93,0.006278120749189082
2008-03-05,0.9109833531625066,0.93,0.00856107374889419
2008-04-04,0.9762189592097632,0.93,0.0045659059994102415
2008-05-04,0.999977951780723,0.93,0.0011414764998525604
2008-06-03,0.7672100660540971,0.93,0.0022829529997051208
2008-07-03,0.7672100660540971,0.93,0.0045659059994102415
2008-08-02,0.7185377796671677,0.93,0.0028536912496313883
2008-09-01,0.7358938968077331,0.93,0.0005707382499262929
2008-10-01,0.8961768162502536,0.93,0.0028536912496313883
2008-10-31,0.008973881874946856,0.93,0.0
2008-11-30,0.0,0.93,0.014268456248156992
2008-12-30,0.0,0.93,0.011985503248451872
2009-01-29,0.0,0.93,0.015980670997935844
2009-02-28,0.0,0.93,0.00970255024874675
2009-03-30,0.0,0.93,0.015409932748009551
2009-04-29,0.0,0.93,0.018834362247567234
2009-05-29,0.07386885339487054,0.93,0.014268456248156992
2009-06-28,0.016517297591538378,0.93,0.018263623997640942
2009-07-28,0.008200576390160237,0.93,0.006848858999115337
2009-08-27,0.008200576390160237,0.93,0.0022829529997051208
2009-09-26,0.008200576390160237,0.93,0.0017122147497788533
2009-10-26,7.244963849217802e-05,0.93,0.0045659059994102415
2009-11-25,0.09227959766336159,0.93,0.0017122147497788279
2009-12-25,0.03659695107178363,0.93,0.0
2010-01-24,0.19333464076691403,0.93,0.0005707382499262802
2010-02-23,0.501234025350384,0.93,0.0045659059994102285
2010-03-25,7.244963849217802e-05,0.93,0.003424429499557681
2010-04-24,0.5228242829238479,0.93,0.0
2010-05-24,0.9787965377421491,0.93,0.0011414764998525604
2010-06-23,0.925804260391746,0.93,0.0011414764998525604
2010-07-23,0.925804260391746,0.93,0.006278120749189082
2010-08-22,0.6765757701274787,0.93,0.0022829529997051208
2010-09-21,0.6765757701274787,0.93,0.0011414764998525604
2010-10-21,0.5488135039273249,0.93,0.0011414764998525604
2010-11-20,0.31212101528169994,0.93,0.0005707382499262802
2010-12-20,0.48996963150467066,0.93,0.0005707382499262802
2011-01-19,0.9999891316173737,0.93,0.0011414764998525604
2011-02-18,0.9999891316173737,0.93,0.0011414764998525604
2011-03-20,0.5232480534666998,0.93,0.0
2011-04-19,0.5232480534666998,0.93,0.0011414764998525604
2011-05-19,0.01946246730930035,0.93,0.0045659059994102285
2011-06-18,0.01946246730930035,0.93,0.0005707382499262802
2011-07-18,0.01946246730930035,0.93,0.0017122147497788405
2011-08-17,0.0020119204715881582,0.93,0.007990335498967922
2011-09-16,0.0020119204715881582,0.93,0.011414764998525603
2011-10-16,0.0020119204715881582,0.93,0.00970255024874675
2011-11-15,0.0020119204715881582,0.93,0.009702550248746764
2011-12-15,0.0020119204715881582,0.93,0.010273288498673042
2012-01-14,0.0020119204715881582,0.93,0.00684885899911535
2012-02-13,0.0020119204715881582,0.93,0.01027328849867303
2012-03-14,0.0020119204715881582,0.93,0.014839194498083273
2012-04-13,0.015539584515976023,0.93,0.013697717998230712
2012-05-13,0.015539584515976023,0.93,0.007419597249041629
2012-06-12,0.004558070912777269,0.93,0.005136644249336509
2012-07-12,0.004558070912777269,0.93,0.003424429499557681
2012-08-11,0.15775160622349818,0.93,0.0011414764998525604
2012-09-10,0.34245787764090213,0.93,0.003424429499557681
2012-10-10,0.329503616046445,0.93,0.0
2012-11-09,0.31207052119516915,0.93,0.0022829529997051208
2012-12-09,0.013236857758899493,0.93,0.003995167749483961
2013-01-08,7.244963849217802e-05,0.93,0.006278120749189082
2013-02-07,7.244963849217802e-05,0.93,0.011414764998525591
2013-03-09,7.244963849217802e-05,0.93,0.011414764998525591
2013-04-08,7.244963849217802e-05,0.93,0.014268456248156992
2013-05-08,0.5488135039273249,0.93,0.0011414764998525604
2013-06-07,0.04755429323161632,0.93,0.00856107374889419
2013-07-07,0.03309033290941644,0.93,0.01027328849867303
2013-08-06,0.014482516673197336,0.93,0.01255624149837815
2013-09-05,7.244963849217802e-05,0.93,0.0017122147497788279
2013-10-05,0.5768407836404842,0.93,0.0005707382499262802
2013-11-04,0.5768407836404842,0.93,0.0005707382499262802
2013-12-04,0.6578224633835792,0.93,0.0
2014-01-03,0.7738538914913532,0.93,0.0
2014-02-02,0.5488135039273249,0.93,0.0
2014-03-04,0.5850510104238696,0.93,0.0
2014-04-03,0.5488135039273249,0.93,0.0005707382499262802
2014-05-03,0.33955073095110383,0.93,0.0
2014-06-02,0.6883857553986218,0.93,0.0005707382499262802
2014-07-02,0.7606666604386915,0.93,0.0005707382499262802
2014-08-01,0.7778885680443033,0.93,0.0005707382499262802
2014-08-31,0.5771402440203419,0.93,0.0005707382499262802
2014-09-30,0.2049692188457743,0.93,0.0005707382499262802
2014-10-30,0.39465231216070296,0.93,0.0
2014-11-29,0.778276167296444,0.93,0.0005707382499262675
2014-12-29,0.43974531184284815,0.93,0.0017122147497788405
2015-01-28,0.5488135039273249,0.93,0.0
2015-02-27,0.5488135039273249,0.93,0.0005707382499262802
2015-03-29,0.8242664697032288,0.93,0.0005707382499262802
2015-04-28,0.11207188087491518,0.93,0.0017122147497788405
2015-05-28,0.08949454503290012,0.93,0.0011414764998525604
2015-06-27,0.08949454503290012,0.93,0.0017122147497788405
2015-07-27,0.10816552447633768,0.93,0.002282952999705108
2015-08-26,0.10816552447633768,0.93,0.00856107374889419
2015-09-25,0.10816552447633768,0.93,0.0034244294995576683
2015-10-25,0.3389709723540934,0.93,0.0045659059994102285
2015-11-24,0.58231293348427,0.93,0.0005707382499262675
2015-12-24,0.49250608938308993,0.93,0.0017122147497788279
2016-01-23,0.1802027073162901,0.93,0.0017122147497788279
2016-02-22,0.5488135039273249,0.93,0.0011414764998525604
2016-03-23,0.5833996440330319,0.93,0.0017122147497788405
2016-04-22,0.1133825712315524,0.93,0.0011414764998525604
